Cube Title,Product Id,CANSIM Id
"Chatham-Kent, Ontario",[556],72
"Cobourg, Ontario",[527],73
"Collingwood, Ontario",[567],74
"Cornwall, Ontario",[501],75
"Elliot Lake, Ontario",[582],77
"Fort Erie, Ontario",[3526003],79
"Gravenhurst, Ontario",[3544002],80
"Guelph, Ontario",[550],81
"Temiskaming Shores, Ontario",[584],82
"Haldimand County, Ontario",[3528018],83
"Halton Hills, Ontario",[3524015],84
"Hamilton, Ontario",[537],85
"Hawkesbury, Ontario part, Ontario/Quebec",[35502],86
"Huntsville, Ontario",[3544042],87
"Kapuskasing, Ontario",[3556066],88
"Kenora, Ontario",[598],89
"Kingston, Ontario",[521],90
"Kirkland Lake, Ontario",[3554068],91
"Kitchener-Cambridge-Waterloo, Ontario",[541],92
"Leamington, Ontario",[557],93
"Kawartha Lakes, Ontario",[530],95
"London, Ontario",[555],96
"Midland, Ontario",[571],97
"Milton, Ontario",[3524009],98
"North Bay, Ontario",[575],101
"Orangeville, Ontario",[3522014],102
"Orillia, Ontario",[569],103
"Oshawa, Ontario",[532],104
"Ottawa-Gatineau, Ontario/Quebec",[505],105
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",[35505],106
"Owen Sound, Ontario",[566],107
"Pembroke, Ontario",[515],108
"Petawawa, Ontario",[516],109
"Peterborough, Ontario",[529],110
"Port Hope, Ontario",[528],111
"Sarnia, Ontario",[562],112
"Sault Ste. Marie, Ontario",[590],113
"Norfolk, Ontario",[547],114
"Smiths Falls, Ontario",[3509004],115
"Smiths Falls, Ontario",[3509004],116
"St. Catharines-Niagara, Ontario",[539],117
"St. Thomas, Ontario",[3534021],118
"Stratford, Ontario",[553],119
"Greater Sudbury, Ontario",[580],121
"Thunder Bay, Ontario",[595],122
"Tillsonburg, Ontario",[546],123
"Timmins, Ontario",[586],124
"Toronto, Ontario",[535],125
"Windsor, Ontario",[559],128
"Woodstock, Ontario",[544],129
"Brandon, Manitoba",[610],130
"Portage La Prairie, Manitoba",[607],131
"Selkirk, Manitoba",[4613047],132
"Thompson, Manitoba",[640],133
"Winnipeg, Manitoba",[602],134
"Estevan, Saskatchewan",[750],135
"Lloydminster, Saskatchewan part, Saskatchewan/Alberta",[47840],136
"Moose Jaw, Saskatchewan",[715],137
"North Battleford, Saskatchewan",[735],138
"Prince Albert, Saskatchewan",[745],139
"Regina, Saskatchewan",[705],140
"Saskatoon, Saskatchewan",[725],141
"Swift Current, Saskatchewan",[720],142
"Weyburn, Saskatchewan",[4702047],143
"Yorkton, Saskatchewan",[710],144
"Brooks, Alberta",[806],145
"Calgary, Alberta",[825],146
"Camrose, Alberta",[833],147
"Edmonton, Alberta",[835],148
"Wood Buffalo, Alberta",[860],149
"Cold Lake, Alberta",[845],150
"Grande Prairie, Alberta",[850],151
"Leduc, Alberta",[4811016],152
"Lethbridge, Alberta",[810],153
"Lloydminster, Alberta part, Saskachewan/Alberta",[48840],154
"Medicine Hat, Alberta",[805],155
"Red Deer, Alberta",[830],156
"Spruce Grove, Alberta",[4811049],157
"Wetaskiwin, Alberta",[865],158
"Abbotsford-Mission, British Columbia",[932],159
"Greater Napanee, Ontario",[3511015],196
"Hanover, Manitoba",[4602041],197
"Ingersoll, Ontario",[533],198
"Lambton Shores, Ontario",[3538040],199
"Mississippi Mills, Ontario",[3509030],200
"North Perth, Ontario",[3531040],201
"Okotoks, Alberta",[820],202
"Saint-Lin--Laurentides, Quebec",[2463048],203
"Saugeen Shores, Ontario",[3541045],204
"South Huron, Ontario",[3540005],205
"Summerland, British Columbia",[5907035],206
"West Nipissing, Ontario",[3548055],207
"Chester, Nova Scotia",[1206009],208
"East Hants, Nova Scotia",[1208008],209
"Lunenburg, Nova Scotia",[1206001],210
"Queens, Nova Scotia",[1204010],211
